In State Full RCB
IMU Connected
Starting RCBRCB Angle Error: -88.768997
RCB Angle Error: -14.043000
RCB Angle Error: -13.900000
RCB Angle Error: -13.738000
RCB Angle Error: -13.614000
RCB Angle Error: -13.489000
RCB Angle Error: -13.373000
RCB Angle Error: -13.206000
RCB Angle Error: -13.043000
RCB Angle Error: -12.878000
RCB Angle Error: -12.741000
RCB Angle Error: -12.591000
RCB Angle Error: -12.469000
RCB Angle Error: -12.338000
RCB Angle Error: -12.201000
RCB Angle Error: -12.013000
RCB Angle Error: -11.860000
RCB Angle Error: -11.727000
RCB Angle Error: -11.616000
RCB Angle Error: -11.479000
RCB Angle Error: -11.319000
RCB Angle Error: -11.128000
RCB Angle Error: -10.913000
RCB Angle Error: -10.777000
RCB Angle Error: -10.630000
RCB Angle Error: -10.523000
RCB Angle Error: -10.407000
RCB Angle Error: -10.238000
RCB Angle Error: -10.084000
RCB Angle Error: -9.865000
RCB Angle Error: -9.702000
RCB Angle Error: -9.587000
RCB Angle Error: -9.501000
RCB Angle Error: -9.375000
RCB Angle Error: -9.205000
RCB Angle Error: -9.002000
RCB Angle Error: -8.841000
RCB Angle Error: -8.682000
RCB Angle Error: -8.576000
RCB Angle Error: -8.447000
RCB Angle Error: -8.299000
RCB Angle Error: -8.078000
RCB Angle Error: -7.878000
RCB Angle Error: -7.721000
RCB Angle Error: -7.605000
RCB Angle Error: -7.485000
RCB Angle Error: -7.360000
RCB Angle Error: -7.204000
RCB Angle Error: -7.010000
RCB Angle Error: -6.877000
RCB Angle Error: -6.711000
RCB Angle Error: -6.577000
RCB Angle Error: -6.432000
RCB Angle Error: -6.267000
RCB Angle Error: -6.142000
RCB Angle Error: -5.996000
RCB Angle Error: -5.839000
RCB Angle Error: -5.713000
RCB Angle Error: -5.550000
RCB Angle Error: -5.424000
RCB Angle Error: -5.248000
RCB Angle Error: -5.090000
RCB Angle Error: -4.935000
RCB Angle Error: -4.764000
RCB Angle Error: -4.642000
RCB Angle Error: -4.488000
RCB Angle Error: -4.326000
RCB Angle Error: -4.179000
RCB Angle Error: -4.026000
RCB Angle Error: -3.905000
RCB Angle Error: -3.749000
RCB Angle Error: -3.572000
RCB Angle Error: -3.416000
RCB Angle Error: -3.260000
RCB Angle Error: -3.149000
RCB Angle Error: -3.010000
RCB Angle Error: -2.844000
RCB Angle Error: -2.700000
RCB Angle Error: -2.560000
RCB Angle Error: -2.448000
RCB Angle Error: -2.321000
RCB Angle Error: -2.161000
RCB Angle Error: -1.991000
RCB Angle Error: -1.793000
RCB Angle Error: -1.637000
RCB Angle Error: -1.469000
RCB Angle Error: -1.335000
RCB Angle Error: -1.220000
RCB Angle Error: -1.088000
RCB Angle Error: -0.940000
Initiating Nacelle servo unlock
Initiating Nacelle servo lock
RCB Success
